N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"57,300","2,200",-3.70%,100,"3,420,685","5,969,783",49.75,"20,608,580",8.69,13.92,
2,LG에너지솔루션,"532,000","8,000",-1.48%,500,"1,244,880","234,000",4.65,"376,374",883.72,10.68,
3,삼성바이오로직스,"876,000","3,000",+0.34%,"2,500","623,484","71,174",10.66,"69,520",116.50,8.21,
4,SK하이닉스,"83,400","6,600",-7.33%,"5,000","607,154","728,002",51.07,"7,587,816",5.29,16.84,
5,삼성SDI,"727,000",0,0.00%,"5,000","499,918","68,765",46.22,"458,552",33.91,8.45,
6,LG화학,"615,000","16,000",+2.67%,"5,000","434,143","70,592",48.11,"377,911",21.68,18.47,
7,삼성전자우,"51,500","1,900",-3.56%,100,"423,787","822,887",71.65,"1,174,370",7.81,N/A,
8,현대차,"164,000","2,000",+1.23%,"5,000","350,416","213,668",29.00,"749,140",7.28,6.84,
9,기아,"66,200",200,+0.30%,"5,000","268,351","405,363",37.08,"1,326,308",5.07,14.69,
10,셀트리온,"187,500","2,500",-1.32%,"1,000","263,985","140,792",21.40,"312,369",46.91,16.04,
11,NAVER,"160,000","1,000",-0.62%,100,"262,479","164,049",49.63,"772,631",26.10,106.72,
12,삼성물산,"118,000","1,000",-0.84%,100,"220,527","186,887",16.74,"263,177",14.05,5.40,
13,카카오,"48,750",0,0.00%,100,"217,094","445,322",27.55,"1,856,791",9.75,17.10,
14,POSCO홀딩스,"247,000","2,000",-0.80%,"5,000","208,891","84,571",53.18,"389,497",2.98,13.97,
15,현대모비스,"219,000","15,000",+7.35%,"5,000","206,484","94,285",36.05,"595,490",8.73,6.87,
16,KB금융,"47,800",800,+1.70%,"5,000","195,453","408,897",73.36,"1,483,435",4.22,9.80,
17,신한지주,"36,600",650,+1.81%,"5,000","187,734","512,934",61.54,"1,227,327",4.54,8.80,
18,SK,"210,500",0,0.00%,200,"156,084","74,149",22.49,"99,141",4.72,10.19,
19,SK이노베이션,"168,500","1,500",-0.88%,"5,000","155,804","92,466",25.80,"523,718",6.16,1.91,
20,포스코케미칼,"200,000","1,000",+0.50%,500,"154,926","77,463",8.35,"891,841",112.99,7.92,
21,삼성생명,"67,400",700,+1.05%,500,"134,800","200,000",13.15,"227,227",18.47,4.01,
22,LG전자,"79,900",300,-0.37%,"5,000","130,755","163,648",26.08,"636,589",7.84,6.32,
23,KT&G,"94,100",500,+0.53%,"5,000","129,192","137,292",43.14,"601,495",12.20,10.74,
24,LG,"79,000",500,-0.63%,"5,000","124,268","157,301",36.20,"192,410",5.43,12.36,
25,고려아연,"622,000","5,000",-0.80%,"5,000","123,549","19,863",21.81,"35,060",13.77,11.07,
26,하나금융지주,"41,350",250,+0.61%,"5,000","122,356","295,903",70.88,"1,436,354",3.54,10.86,
27,SK텔레콤,"50,200",200,-0.40%,100,"109,854","218,833",46.48,"346,516",8.65,13.63,
28,한국전력,"17,050",50,-0.29%,"5,000","109,455","641,964",14.42,"740,134",-0.71,-7.99,
29,S-Oil,"88,200","2,700",+3.16%,"2,500","99,298","112,583",81.24,"578,987",4.10,21.76,
30,현대중공업,"109,500","2,000",+1.86%,"5,000","97,207","88,773",5.68,"258,993",-13.16,-14.87,
31,삼성화재,"204,000","7,500",+3.82%,500,"96,645","47,375",49.97,"97,461",8.94,7.09,
32,KT,"36,600",0,0.00%,"5,000","95,567","261,112",44.23,"754,390",6.64,9.36,
33,삼성에스디에스,"122,000","1,000",-0.81%,500,"94,401","77,378",13.55,"91,470",12.41,8.80,
34,한화솔루션,"48,000","3,700",-7.16%,"5,000","91,814","191,278",24.53,"4,472,495",26.42,8.79,
35,HMM,"18,600",350,-1.85%,"5,000","90,961","489,039",9.57,"1,902,932",0.78,88.62,
36,삼성전기,"118,000","5,000",-4.07%,"5,000","88,139","74,694",26.79,"735,173",8.88,14.29,
37,두산에너빌리티,"13,600",200,+1.49%,"5,000","86,810","638,308",11.73,"3,989,540",102.26,10.67,
